id,pedido_id,produto_id,quantidade,preco_praticado,desconto_aplicado
1,1,133,4,2290.86,0.19
2,1,64,3,723.06,0.21
3,1,7,1,353.01,0.29
4,2,200,2,2504.74,0.0
5,2,88,5,2829.32,0.03
6,3,24,3,2912.52,0.01
7,3,120,2,734.95,0.0
8,3,183,5,325.02,0.04
9,4,95,2,2921.91,0.01
10,4,139,2,645.31,0.13
11,5,49,3,2096.55,0.0
12,6,145,3,2924.2,0.11
13,7,11,4,1378.3,0.05
14,8,24,2,2941.94,0.0
15,9,113,3,329.76,0.25
16,9,114,1,661.08,0.25
17,10,178,2,1736.27,0.03
18,11,115,5,2757.5,0.2
19,12,20,5,2278.64,0.02
20,13,107,1,2218.73,0.24
21,13,176,4,607.04,0.21
22,14,88,4,2158.45,0.26
23,14,77,1,1331.46,0.15
24,14,156,1,44.98,0.23
25,15,128,4,1311.94,0.02
26,15,7,4,482.28,0.03
27,15,160,5,2908.77,0.02
28,16,91,1,2448.24,0.07
29,16,71,2,486.78,0.3
30,16,172,3,2375.05,0.13
31,16,94,3,2326.28,0.12
32,16,137,3,107.74,0.26
33,17,122,5,763.65,0.01
34,17,63,3,2475.97,0.17
35,17,54,4,2849.67,0.14
36,18,59,1,613.31,0.05
37,19,164,5,1569.97,0.28
38,19,144,3,446.65,0.28
39,20,70,5,1176.79,0.0
40,20,186,1,2165.33,0.0
41,21,9,2,2623.98,0.02
42,22,92,5,2025.73,0.01
43,22,182,4,984.75,0.05
44,23,52,1,1116.78,0.05
45,23,19,3,929.91,0.01
46,24,84,4,1671.03,0.19
47,24,176,3,637.78,0.17
48,25,158,1,1837.58,0.04
49,25,195,4,96.27,0.25
50,25,118,5,2517.24,0.16
51,26,45,5,467.58,0.05
52,26,79,2,361.44,0.02
53,26,114,3,863.81,0.02
54,26,50,4,2851.81,0.04
55,26,96,2,1536.74,0.01
56,27,77,2,1550.76,0.01
57,27,47,2,1515.99,0.02
58,27,174,4,1160.4,0.03
59,27,32,2,355.06,0.04
60,28,34,2,1365.1,0.0
61,28,9,1,2623.98,0.02
62,29,130,2,589.92,0.09
63,29,65,4,1956.35,0.27
64,30,39,1,175.47,0.03
65,30,162,3,233.7,0.05
66,31,132,2,3168.67,0.01
67,31,143,4,1458.36,0.01
68,31,21,1,1118.83,0.03
69,31,124,5,2088.87,0.05
70,32,185,4,932.67,0.03
71,32,99,2,3046.58,0.05
72,32,169,2,351.51,0.03
73,33,198,2,1461.2,0.05
